"PVWatts: Hourly PV Performance Data"
"Requested Location:","sioux falls"
"Location:","Lat, Lon: 43.49, -96.74"
"Lat (deg N):","43.49"
"Long (deg W):","96.74"
"Elev (m):","447.35998535156"
"DC System Size (kW):","500"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.104"
"Capacity Factor (%)","15.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","7","16","680","91","9","2","446.012","21.159","187099.094","179881.641"
"4","7","17","660","49","6","1","241.422","13.924","92468.898","87937.008"
"4","7","18","157","35","2","1","41.198","2.087","16620.412","13760.294"
"4","7","19","0","0","0","1","0","0","0","0"
"4","7","20","0","0","0","1","0","0","0","0"
"4","7","21","0","0","0","1","0","0","0","0"
"4","7","22","0","0","0","2","0","0","0","0"
"4","7","23","0","0","-1","2","0","-1","0","0"
"4","8","0","0","0","-1","3","0","-1","0","0"
"4","8","1","0","0","-1","3","0","-1","0","0"
"4","8","2","0","0","-2","3","0","-2","0","0"
"4","8","3","0","0","-2","3","0","-2","0","0"
"4","8","4","0","0","-2","3","0","-2","0","0"
"4","8","5","0","0","-2","3","0","-2","0","0"
"4","8","6","271","35","-1","3","48.97","-1.735","18163.08","15273.222"
"4","8","7","606","83","1","3","267.33","5.908","109716.773","104745.023"
"4","8","8","763","115","5","3","521.079","16.677","223900.781","215459.063"
"4","8","9","859","132","8","4","754.029","24.172","321869.031","309677.344"
"4","8","10","903","149","10","5","936.967","28.146","395628.875","380142.875"
"4","8","11","924","160","11","5","1052.15","31.661","437636.5","416666.656"
"4","8","12","897","187","12","5","1082.65","33.43","446593.188","416666.656"
"4","8","13","898","177","12","5","1042.874","32.714","431552.406","414315.5"
"4","8","14","878","163","12","4","925.265","32.763","382037.375","367188.844"
"4","8","15","745","122","11","4","659.307","25.894","279036.125","268571.781"
"4","8","16","746","119","10","3","509.11","22.326","212815.891","204753.531"
"4","8","17","591","84","8","2","257.449","14.899","101052.039","96304.023"
"4","8","18","285","31","4","1","44.942","4.321","15876.511","13030.67"
"4","8","19","0","0","2","1","0","2","0","0"
"4","8","20","0","0","1","2","0","1","0","0"
"4","8","21","0","0","0","2","0","0","0","0"
"4","8","22","0","0","0","3","0","0","0","0"
"4","8","23","0","0","0","3","0","0","0","0"
"4","9","0","0","0","0","2","0","0","0","0"
"4","9","1","0","0","-1","2","0","-1","0","0"
"4","9","2","0","0","-2","2","0","-2","0","0"
"4","9","3","0","0","-2","2","0","-2","0","0"
"4","9","4","0","0","-2","3","0","-2","0","0"
"4","9","5","0","0","-1","4","0","-1","0","0"
"4","9","6","48","35","0","3","35.839","-1.061","16271.314","13417.9"
"4","9","7","344","94","1","3","200.311","4.198","85710.992","81345.406"
"4","9","8","458","152","3","4","400.482","10.701","178313.656","171373.563"
"4","9","9","507","205","5","4","582.909","17.172","257644.313","247991.547"
"4","9","10","227","344","6","4","553.221","17.91","245342.141","236140.703"
"4","9","11","459","314","7","4","782.039","23.856","337664.438","324801.313"
"4","9","12","291","391","8","4","707.39","23.708","305713.594","294189.438"
"4","9","13","216","389","9","4","613.188","22.488","266480.969","256497.094"
"4","9","14","564","239","9","4","742.086","25.073","318064.094","306031.375"
"4","9","15","364","246","8","4","513.851","19.385","225071.844","216589.516"
"4","9","16","399","161","7","3","374.116","15.758","162960.844","156491.688"
"4","9","17","115","108","6","2","139.584","9.164","61482.941","57685.699"
